rank,mark,athlete,country,date_of_birth,race_position,venue,result_date,mark_seconds,result_year,decade,age_at_race
223,3:57.40,Gudaf Tsegay,ETH,1997-06-23,3,Rabat,2019-06-16,237.4,2019,2010,21.97946611909651
223,3:57.40,Laura Muir,GBR,1993-05-09,1,Berlin,2020-09-13,237.4,2020,2020,27.34839151266256
228,3:57.41,Jackline Maranga,KEN,1977-12-16,3,Monaco,1998-08-08,237.41,1998,1990,20.643394934976044
228,3:57.41+,Sifan Hassan,NED,1993-01-01,1,London,2018-07-22,237.41,2018,2010,25.5523613963039
230,3:57.44,Cory McGee,USA,1992-05-29,5,Eugene,2024-06-30,237.44,2024,2020,32.087611225188226
230,3:57.44,Linden Hall,AUS,1991-06-20,3,Zürich,2025-08-28,237.44,2025,2020,34.19028062970568
232,3:57.46,Zhang Linli,CHN,1973-03-06,3,Beijing,1993-09-11,237.46,1993,1990,20.517453798767967
232,3:57.46,Sarah Healy,IRL,2001-02-13,7,Paris,2024-07-07,237.46,2024,2020,23.394934976043807
234,3:57.48,Maricica Puica,ROU,1950-07-29,1,Bucuresti,1982-07-31,237.48,1982,1980,32.00547570157426
235,3:57.49,Laura Muir,GBR,1993-05-09,1,London,2016-07-22,237.49,2016,2010,23.20328542094456
236,3:57.50,Tatyana Tomashova,RUS,1975-07-01,3,Rieti,2006-08-27,237.5,2006,2000,31.156741957563312
236,3:57.50,Birke Haylom,ETH,2006-01-06,3,Paris,2025-06-20,237.5,2025,2020,19.45242984257358
238,3:57.51,Faith Kipyegon,KEN,1994-01-10,2,Paris,2017-07-01,237.51,2017,2010,23.471594798083505
239,3:57.52,Elinor St. Pierre,USA,1995-02-20,8,Saint-Denis,2024-08-10,237.52,2024,2020,29.470225872689937
240,3:57.53,Hirut Meshesha,ETH,2001-01-20,7,Eugene,2023-09-16,237.53,2023,2020,22.652977412731005
241,3:57.54,Genzebe Dibaba,ETH,1991-02-08,3,Ad-Dawhah,2013-05-10,237.54,2013,2010,22.250513347022586
241,3:57.54,Freweyni Hailu,ETH,2001-02-12,2s1,Tokyo,2021-08-04,237.54,2021,2020,20.473648186173854
243,3:57.56,Worknesh Mesele,ETH,2001-06-10,4,Shaoxing,2026-05-16,237.56,2026,2020,24.930869267624914
244,3:57.57,Abeba Aregawi,SWE,1990-07-05,2,Eugene,2014-05-31,237.57,2014,2010,23.904175222450377
244,3:57.57,Jessica Hull,AUS,1996-10-22,8,Eugene,2023-09-16,237.57,2023,2020,26.899383983572896
246,3:57.59,Abbey Caldwell,AUS,2001-07-03,5,Paris,2026-06-28,237.59,2026,2020,24.985626283367555
247,3:57.60,Freweyni Hailu,ETH,2001-02-12,4,Tokyo,2021-08-06,237.6,2021,2020,20.479123887748116
248,3:57.61,Yuliya Chizhenko,RUS,1979-08-30,2,Göteborg,2006-08-13,237.61,2006,2000,26.954140999315538
248,3:57.61,Worknesh Mesele,ETH,2001-06-10,3,Xiamen,2024-04-20,237.61,2024,2020,22.861054072553046
248,3:57.61,Nelly Jepkosgei,BRN,1991-07-14,6,Paris,2026-06-28,237.61,2026,2020,34.95687885010267
251,3:57.62,Diribe Welteji,ETH,2002-05-13,4,Xiamen,2024-04-20,237.62,2024,2020,21.93839835728953
252,3:57.63,Linden Hall,AUS,1991-06-20,4,Paris,2025-06-20,237.63,2025,2020,34.001368925393564
252,3:57.63,Laura Muir,GBR,1993-05-09,4,Bruxelles,2025-08-22,237.63,2025,2020,32.28747433264887
254,3:57.64,Gudaf Tsegay,ETH,1997-06-23,1,Stockholm,2018-06-10,237.64,2018,2010,20.9637234770705
255,3:57.65,Freweyni Hailu,ETH,2001-02-12,2,Rabat,2023-05-28,237.65,2023,2020,22.286105407255306
256,3:57.66,Birke Haylom,ETH,2006-01-06,3,Rabat,2023-05-28,237.66,2023,2020,17.388090349075977
257,3:57.70,Tatyana Pozdnyakova,UKR,1956-03-04,2,Rieti,1984-09-02,237.7,1984,1980,28.49828884325804
258,3:57.71,Christiane Wartenberg,GDR,1956-10-27,2,Moskva,1980-08-01,237.71,1980,1980,23.761806981519506
258,3:57.71,Carla Sacramento,POR,1971-12-10,4,Monaco,1998-08-08,237.71,1998,1990,26.661190965092402
260,3:57.72,Galina Zakharova,RUS,1956-09-07,1,Baku,1984-09-14,237.72,1984,1980,28.019164955509925
260,3:57.72,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Monaco,2003-09-13,237.72,2003,2000,25.018480492813143
260,3:57.72,Saron Berhe,ETH,2007-08-22,7,Eugene,2025-07-05,237.72,2025,2020,17.869952087611225
263,3:57.73,Maricica Puica,ROU,1950-07-29,2,Bruxelles,1985-08-30,237.73,1985,1980,35.08829568788501
263,3:57.73,Natalya Yevdokimova,RUS,1978-03-17,2,Rieti,2005-08-28,237.73,2005,2000,27.449691991786448
265,3:57.74,Freweyni Hailu,ETH,2001-02-12,8,Eugene,2025-07-05,237.74,2025,2020,24.39151266255989
265,3:57.74,Dorcus Ewoi,KEN,1996-10-02,5,Shaoxing,2026-05-16,237.74,2026,2020,29.61806981519507
267,3:57.75,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Bruxelles,2002-08-30,237.75,2002,2000,23.980835044490075
267,3:57.75,Jessica Hull,AUS,1996-10-22,4,Bruxelles,2023-09-08,237.75,2023,2020,26.87748117727584
267,3:57.75,Marta Pérez,ESP,1993-04-19,8s2,Saint-Denis,2024-08-08,237.75,2024,2020,31.304585900068446
270,3:57.77,Liu Jing,CHN,1971-02-03,7,Shanghai,1997-10-18,237.77,1997,1990,26.704996577686515
270,3:57.77,Genzebe Dibaba,ETH,1991-02-08,1,Shanghai,2012-05-19,237.77,2012,2010,21.27583846680356
272,3:57.78,Olga Dvirna,RUS,1953-02-11,1,Budapest,1981-07-29,237.78,1981,1980,28.459958932238195
272,3:57.78,Shannon Rowbury,USA,1984-09-19,1,Zürich,2016-09-01,237.78,2016,2010,31.95071868583162
274,3:57.79,Heather MacLean,USA,1995-08-31,8,Chorzów,2025-08-16,237.79,2025,2020,29.960301163586585
274,3:57.79,Birke Haylom,ETH,2006-01-06,2,Xiamen,2026-05-23,237.79,2026,2020,20.3750855578371
276,3:57.80,Olga Dvirna,RUS,1953-02-11,1,Athínai,1982-09-11,237.8,1982,1980,29.579739904175224
276,3:57.80,Sinclaire Johnson,USA,1998-04-13,4,Zürich,2025-08-28,237.8,2025,2020,27.37577002053388
278,3:57.82,Maricica Puica,ROU,1950-07-29,1,Tirrenia,1982-08-25,237.82,1982,1980,32.07392197125257
278,3:57.82+,Genzebe Dibaba,ETH,1991-02-08,1,Lausanne,2017-07-06,237.82,2017,2010,26.406570841889117
278,3:57.82,Diribe Welteji,ETH,2002-05-13,4,Bruxelles,2022-09-02,237.82,2022,2020,20.306639288158795
281,3:57.83,Qu Yunxia,CHN,1972-12-25,8,Shanghai,1997-10-18,237.82999999999998,1997,1990,24.813141683778234
282,3:57.84,Diribe Welteji,ETH,2002-05-13,1,Westwood,2023-05-27,237.84,2023,2020,21.037645448323065
283,3:57.85,Laura Muir,GBR,1993-05-09,2,Zürich,2016-09-01,237.85,2016,2010,23.315537303216974
283,3:57.85,Jessica Hull,AUS,1996-10-22,6s2,Budapest,2023-08-20,237.85,2023,2020,26.82546201232033
285,3:57.87,Laura Muir,GBR,1993-05-09,1,Stockholm,2020-08-23,237.87,2020,2020,27.290896646132786
285,3:57.87,Hirut Meshesha,ETH,2001-01-20,2,Ostrava,2023-06-27,237.87,2023,2020,22.431211498973305
285,3:57.87,Elise Cranny,USA,1996-05-09,6,Eugene,2024-06-30,237.87,2024,2020,28.142368240930868
288,3:57.88,Freweyni Hailu,ETH,2001-02-12,2,Chorzów,2024-08-25,237.88,2024,2020,23.531827515400412
289,3:57.89,Laura Muir,GBR,1993-05-09,1,Stockholm,2024-06-02,237.89,2024,2020,31.066392881587955
290,3:57.90,Kelly Holmes,GBR,1970-04-19,1,Athínai,2004-08-28,237.9,2004,2000,34.36002737850787
290,3:57.90,Nelly Chepchirchir,KEN,2003-06-04,5,Budapest,2023-08-22,237.9,2023,2020,20.216290212183434
292,3:57.91,Emily MacKay,USA,1998-04-30,9,Eugene,2025-07-05,237.91,2025,2020,27.1813826146475
292,3:57.91,Jessica Hull,AUS,1996-10-22,6,Shaoxing,2026-05-16,237.91,2026,2020,29.56331279945243
294,3:57.92,Tatyana Dorovskikh,UKR,1961-08-12,4,Barcelona,1992-08-08,237.92000000000002,1992,1990,30.989733059548254
294,3:57.92,Linden Hall,AUS,1991-06-20,3,Xiamen,2023-09-02,237.92000000000002,2023,2020,32.20260095824778
296,3:57.95,Worknesh Mesele,ETH,2001-06-10,5,Paris,2025-06-20,237.95,2025,2020,24.027378507871322
296,3:57.95,Sarah Healy,IRL,2001-02-13,9,Chorzów,2025-08-16,237.95,2025,2020,24.503764544832308
296,3:57.95,Klaudia Kazimierska,POL,2001-09-03,7,Tokyo,2025-09-16,237.95,2025,2020,24.035592060232716
299,3:58.00,Wang Junxia,CHN,1973-01-09,1h,Jinan,1993-06-02,238.0,1993,1990,20.39425051334702
299,3:58.00,Shannon Rowbury,USA,1984-09-19,4,Saint-Denis,2016-08-27,238.0,2016,2010,31.93702943189596
301,3:58.01,Faith Kipyegon,KEN,1994-01-10,3,Eugene,2014-05-31,238.01,2014,2010,20.386036960985628
301,3:58.01,Melissa Courtney-Bryant,GBR,1993-08-30,6,Chorzów,2023-07-16,238.01,2023,2020,29.87542778918549
303,3:58.02,Yuliya Chizhenko,RUS,1979-08-30,2,Athínai,2006-07-03,238.02,2006,2000,26.84188911704312
304,3:58.03,Elinor St. Pierre,USA,1995-02-20,1,Eugene,2021-06-21,238.03,2021,2020,26.33264887063655
304,3:58.03,Katie Snowden,GBR,1994-03-09,5,Bruxelles,2023-09-08,238.03,2023,2020,29.50034223134839
306,3:58.04,Nelly Chepchirchir,KEN,2003-06-04,1,Rabat,2025-05-25,238.04,2025,2020,21.973990417522245
307,3:58.05,Agathe Guillemot,FRA,1999-07-11,8,Paris,2024-07-07,238.05,2024,2020,24.99110198494182
307,3:58.05,Nelly Chepchirchir,KEN,2003-06-04,5,Bruxelles,2024-09-14,238.05,2024,2020,21.281314168377822
307,3:58.05,Susan Ejore-Sanders,KEN,1995-11-09,10,Eugene,2025-07-05,238.05,2025,2020,29.65366187542779
310,3:58.06,Hirut Meshesha,ETH,2001-01-20,6,Bruxelles,2023-09-08,238.06,2023,2020,22.63107460643395
310,3:58.06,Georgia Hunter Bell,GBR,1993-10-17,6,Paris,2025-06-20,238.06,2025,2020,31.67419575633128
312,3:58.07,Kelly Holmes,GBR,1970-04-19,1,Sheffield,1997-06-29,238.07,1997,1990,27.195071868583163
312,3:58.07+,Freweyni Hailu,ETH,2001-02-12,2,Monaco,2023-07-21,238.07,2023,2020,22.43394934976044
314,3:58.08,Revee Walcott-Nolan,GBR,1995-03-06,9s2,Saint-Denis,2024-08-08,238.07999999999998,2024,2020,29.426420260095824
315,3:58.09,Dawit Seyaum,ETH,1996-07-27,5,Saint-Denis,2016-08-27,238.09,2016,2010,20.084873374401095
315,3:58.09+,Laura Muir,GBR,1993-05-09,3,Monaco,2023-07-21,238.09,2023,2020,30.198494182067076
315,3:58.09,Melissa Courtney-Bryant,GBR,1993-08-30,7,Bruxelles,2023-09-08,238.09,2023,2020,30.023271731690624
315,3:58.09,Claudia Hollingsworth,AUS,2005-04-12,1rA,Melbourne,2026-03-05,238.09,2026,2020,20.895277207392198
320,3:58.1,Doina Melinte,ROU,1956-12-27,1,Bucuresti,1984-06-09,238.1,1984,1980,27.449691991786448
320,3:58.10,Dawit Seyaum,ETH,1996-07-27,2,Eugene,2016-05-28,238.1,2016,2010,19.835728952772072
322,3:58.11,Sintayehu Vissa,ITA,1996-07-29,10s2,Saint-Denis,2024-08-08,238.11,2024,2020,28.027378507871322
322,3:58.11,Georgia Hunter Bell,GBR,1993-10-17,3,Chorzów,2024-08-25,238.11,2024,2020,30.855578370978783
324,3:58.12,Naomi Mugo,KEN,1977-01-02,5,Monaco,1998-08-08,238.12,1998,1990,21.596167008898014
324,3:58.12,Tatyana Tomashova,RUS,1975-07-01,2,Athínai,2004-08-28,238.12,2004,2000,29.16084873374401
324,3:58.12,Sifan Hassan,NED,1993-01-01,1,Hengelo,2023-06-04,238.12,2023,2020,30.420260095824776
324,3:58.12,Sintayehu Vissa,ITA,1996-07-29,6,Roma,2024-08-30,238.12,2024,2020,28.087611225188226
328,3:58.13,Katie Snowden,GBR,1994-03-09,9,Paris,2024-07-07,238.13,2024,2020,30.32991101984942
328,3:58.13,Emily MacKay,USA,1998-04-30,3,Xiamen,2026-05-23,238.13,2026,2020,28.06297056810404
330,3:58.14,Gudaf Tsegay,ETH,1997-06-23,1,Zagreb,2025-05-24,238.14,2025,2020,27.917864476386036
331,3:58.15,Worknesh Mesele,ETH,2001-06-10,7,Roma,2024-08-30,238.15,2024,2020,23.222450376454482
331,3:58.15,Nadia Battocletti,ITA,2000-04-12,1,Rovereto,2025-06-02,238.15,2025,2020,25.138945927446954
333,3:58.17,Nadezhda Ralldugina,RUS,1957-11-15,5r1,Kyiv,1982-07-27,238.17000000000002,1982,1980,24.695414099931554
334,3:58.18,Liu Dong,CHN,1973-12-24,9,Shanghai,1997-10-18,238.18,1997,1990,23.81656399726215
334,3:58.18,Laura Muir,GBR,1993-05-09,2,Lausanne,2018-07-05,238.18,2018,2010,25.155373032169745
334,3:58.18,Freweyni Hailu,ETH,2001-02-12,2,Rabat,2022-06-05,238.18,2022,2020,21.308692676249144
334,3:58.18,Gudaf Tsegay,ETH,1997-06-23,2,Chorzów,2022-08-06,238.18,2022,2020,25.11978097193703
334,3:58.18,Freweyni Hailu,ETH,2001-02-12,5,Xiamen,2024-04-20,238.18,2024,2020,23.184120465434635
339,3:58.19,Jennifer Simpson,USA,1986-08-23,6,Saint-Denis,2016-08-27,238.19,2016,2010,30.012320328542096
340,3:58.2,Natalia Marasescu,ROU,1952-10-03,1,Bucuresti,1979-07-13,238.2,1979,1970,26.77344284736482
340,3:58.2,Natalia Marasescu,ROU,1952-10-03,2,Athínai,1979-08-11,238.2,1979,1970,26.85284052019165
340,3:58.20,Anita Weyermann,SUI,1977-12-08,6,Monaco,1998-08-08,238.2,1998,1990,20.6652977412731
340,3:58.20,Winny Chebet,KEN,1990-12-20,7,Ad-Dawhah,2019-10-05,238.2,2019,2010,28.791238877481177
344,3:58.22,Yin Lili,CHN,1979-11-11,3h1,Shanghai,1997-10-17,238.22,1997,1990,17.932922655715263
344,3:58.22+,Jessica Hull,AUS,1996-10-22,4,Monaco,2023-07-21,238.22,2023,2020,26.743326488706366
344,3:58.22,Melissa Courtney-Bryant,GBR,1993-08-30,4,Xiamen,2023-09-02,238.22,2023,2020,30.00684462696783
347,3:58.24,Laura Muir,GBR,1993-05-09,1,Chorzów,2020-09-06,238.24,2020,2020,27.329226557152634
348,3:58.25,Laura Muir,GBR,1993-05-09,1,London,2019-07-20,238.25,2019,2010,26.195756331279945
348,3:58.25,Georgia Griffith,AUS,1996-12-05,1,Budapest,2025-08-12,238.25,2025,2020,28.684462696783026
348,3:58.25,Freweyni Hailu,ETH,2001-02-12,1,Rabat,2026-05-31,238.25,2026,2020,25.295003422313485
351,3:58.26,Doina Melinte,ROU,1956-12-27,1,Bucuresti,1984-07-12,238.26,1984,1980,27.540041067761805
352,3:58.28,Elvan Abeylegesse,TUR,1982-09-11,1,Moskva,2004-05-30,238.28,2004,2000,21.71663244353183
352,3:58.28,Jennifer Simpson,USA,1986-08-23,4,Eugene,2014-05-31,238.28,2014,2010,27.770020533880903
352,3:58.28,Gabriela DeBues-Stafford,CAN,1995-09-13,3s1,Tokyo,2021-08-04,238.28,2021,2020,25.89185489390828
352,3:58.28+,Ciara Mageean,IRL,1992-03-12,5,Monaco,2023-07-21,238.28,2023,2020,31.356605065023956
356,3:58.29,Maricica Puica,ROU,1950-07-29,2,Budapest,1981-07-29,238.29,1981,1980,31.000684462696782
356,3:58.29,Violeta Szekely,ROU,1965-03-26,1,Monaco,2000-08-18,238.29,2000,2000,35.397672826830934
356,3:58.29,Agathe Guillemot,FRA,1999-07-11,5,Bruxelles,2025-08-22,238.29,2025,2020,26.116358658453116
359,3:58.3,Yekaterina Podkopayeva,RUS,1952-06-11,1,Moskva,1980-06-12,238.3,1980,1980,28.00273785078713
360,3:58.31,Heather MacLean,USA,1995-08-31,7,Eugene,2024-06-30,238.31,2024,2020,28.83230663928816
361,3:58.33,Faith Kipyegon,KEN,1994-01-10,1,Zürich,2021-09-09,238.32999999999998,2021,2020,27.66324435318275
361,3:58.33,Sintayehu Vissa,ITA,1996-07-29,1,Zagreb,2024-09-08,238.32999999999998,2024,2020,28.112251882272417
363,3:58.36,Elinor St. Pierre,USA,1995-02-20,1rA,Walnut,2021-05-09,238.36,2021,2020,26.21492128678987
363,3:58.36,Jessica Hull,AUS,1996-10-22,1,Philadelphia,2025-05-31,238.36,2025,2020,28.605065023956193
365,3:58.37,Tatyana Providokhina,RUS,1953-03-26,1,Podolsk,1982-08-22,238.37,1982,1980,29.4072553045859
366,3:58.38,Suzy Favor Hamilton,USA,1968-08-08,7,Monaco,1998-08-08,238.38,1998,1990,29.998631074606433
367,3:58.39,Maria Cioncan,ROU,1977-06-19,3,Athínai,2004-08-28,238.39,2004,2000,27.19233401779603
367,3:58.39,Sifan Hassan,NED,1993-01-01,3,Lausanne,2018-07-05,238.39,2018,2010,25.505817932922657
369,3:58.40,Ravilya Agletdinova,BLR,1960-02-10,1,Moskva,1985-08-18,238.4,1985,1980,25.519507186858316
369,3:58.40,Georgia Griffith,AUS,1996-12-05,6,Bruxelles,2024-09-14,238.4,2024,2020,27.77549623545517
371,3:58.42,Svetlana Masterkova,RUS,1968-01-17,1,Roma,1998-07-14,238.42000000000002,1998,1990,30.48870636550308
371,3:58.42,Jennifer Simpson,USA,1986-08-23,8,Ad-Dawhah,2019-10-05,238.42000000000002,2019,2010,33.1170431211499
371,3:58.42,Sarah Healy,IRL,2001-02-13,8,Roma,2024-08-30,238.42000000000002,2024,2020,23.54277891854894
374,3:58.43,Kutre Dulecha,ETH,1978-08-22,8,Monaco,1998-08-08,238.43,1998,1990,19.96167008898015
374,3:58.43,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Berlin,2002-09-06,238.43,2002,2000,24.0
374,3:58.43,Sifan Hassan,NED,1993-01-01,3,Zürich,2016-09-01,238.43,2016,2010,23.665982203969882
377,3:58.44,Worknesh Mesele,ETH,2001-06-10,2,Rabat,2025-05-25,238.44,2025,2020,23.956194387405887
377,3:58.44,Agathe Guillemot,FRA,1999-07-11,7,Paris,2025-06-20,238.44,2025,2020,25.94387405886379
379,3:58.46A,Nelly Chepchirchir,KEN,2003-06-04,2,Nairobi,2024-06-15,238.46,2024,2020,21.032169746748803
380,3:58.49,Laura Muir,GBR,1993-05-09,1,Bruxelles,2018-08-31,238.49,2018,2010,25.311430527036276
381,3:58.5,Zamira Zaytseva,UZB,1953-02-16,2,Moskva,1980-06-12,238.5,1980,1980,27.318275154004105
382,3:58.52,Tatyana Tomashova,RUS,1975-07-01,1,Saint-Denis,2003-08-31,238.52,2003,2000,28.16700889801506
383,3:58.53,Laura Muir,GBR,1993-05-09,2,Stockholm,2018-06-10,238.53,2018,2010,25.086926762491444
384,3:58.54,Jennifer Simpson,USA,1986-08-23,4,Zürich,2016-09-01,238.54,2016,2010,30.026009582477755
384,3:58.54,Marta Pérez,ESP,1993-04-19,9,Tokyo,2025-09-16,238.54,2025,2020,32.41067761806981
384,3:58.54,Emily MacKay,USA,1998-04-30,7,Shaoxing,2026-05-16,238.54,2026,2020,28.043805612594113
387,3:58.55,Sifan Hassan,NED,1993-01-01,2,Zürich,2021-09-09,238.55,2021,2020,28.687200547570157
388,3:58.56,Tatyana Dorovskikh,UKR,1961-08-12,1,Roma,1987-09-05,238.56,1987,1980,26.064339493497606
389,3:58.57,Faith Kipyegon,KEN,1994-01-10,1,Ad-Dawhah,2023-05-05,238.57,2023,2020,29.31416837782341
390,3:58.58,Helen Obiri,KEN,1989-12-13,1,Eugene,2013-06-01,238.57999999999998,2013,2010,23.46611909650924
390,3:58.58,Laura Muir,GBR,1993-05-09,6,Budapest,2023-08-22,238.57999999999998,2023,2020,30.286105407255306
392,3:58.59,Abeba Aregawi,ETH,1990-07-05,1,Saint-Denis,2012-07-06,238.59,2012,2010,22.0041067761807
392,3:58.59,Freweyni Hailu,ETH,2001-02-12,1,Bydgoszcz,2024-06-20,238.59,2024,2020,23.351129363449694
392,3:58.59,Birke Haylom,ETH,2006-01-06,1,Moskva,2026-06-05,238.59,2026,2020,20.410677618069816
395,3:58.60,Olga Dvirna,RUS,1953-02-11,1,Moskva,1981-08-07,238.6,1981,1980,28.484599589322382
395,3:58.60,Yelena Soboleva,RUS,1982-10-03,1,Lausanne,2006-07-11,238.6,2006,2000,23.770020533880903
397,3:58.62,Gabriela DeBues-Stafford,CAN,1995-09-13,3,Eugene,2022-05-28,238.62,2022,2020,26.704996577686515
398,3:58.63,Dawit Seyaum,ETH,1996-07-27,5,Zürich,2016-09-01,238.63,2016,2010,20.098562628336754
398,3:58.63,Susan Ejore-Sanders,KEN,1995-11-09,3,Westwood,2024-05-18,238.63,2024,2020,28.522929500342233
398,3:58.63,Georgia Hunter Bell,GBR,1993-10-17,1,Roma,2026-06-04,238.63,2026,2020,32.629705681040384
401,3:58.64,Wang Renmei,CHN,1970-07-05,4,Beijing,1993-09-11,238.64,1993,1990,23.186858316221766
401,3:58.64,Faith Kipyegon,KEN,1994-01-10,1s1,Saint-Denis,2024-08-08,238.64,2024,2020,30.576317590691307
403,3:58.65,Gabriella Dorio,ITA,1957-06-27,2,Tirrenia,1982-08-25,238.65,1982,1980,25.16084873374401
403,3:58.65,Jemma Reekie,GBR,1998-03-06,7,Chorzów,2023-07-16,238.65,2023,2020,25.360711841204655
403,3:58.65,Susan Ejore-Sanders,KEN,1995-11-09,8,Paris,2025-06-20,238.65,2025,2020,29.61259411362081
406,3:58.66,Laura Muir,GBR,1993-05-09,5,Monaco,2015-07-17,238.66,2015,2010,22.187542778918548
407,3:58.67,Hildegard Körner,GDR,1959-12-20,2,Roma,1987-09-05,238.67000000000002,1987,1980,27.709787816564
408,3:58.68,Yuliya Chizhenko,RUS,1979-08-30,1r3,Tula,2005-07-13,238.68,2005,2000,25.869952087611225
408,3:58.68,Revee Walcott-Nolan,GBR,1995-03-06,9,Roma,2024-08-30,238.68,2024,2020,29.48665297741273
410,3:58.69,Doina Melinte,ROU,1956-12-27,1,Villeneuve d'Ascq,1990-06-29,238.69,1990,1990,33.503080082135526
410,3:58.69,Ciara Mageean,IRL,1992-03-12,10,Paris,2024-07-07,238.69,2024,2020,32.32032854209446
412,3:58.70,Zamira Zaytseva,UZB,1953-02-16,2,Moskva,1981-08-07,238.7,1981,1980,28.470910335386723
412,3:58.70,Ravilya Agletdinova,BLR,1960-02-10,2,Praha,1984-08-18,238.7,1984,1980,24.520191649555098
412,3:58.70,Linden Hall,AUS,1991-06-20,2,Rovereto,2025-06-02,238.7,2025,2020,33.95208761122519
415,3:58.71,Natalia Marasescu,ROU,1952-10-03,1,Moskva,1979-07-29,238.71,1979,1970,26.817248459958932
415,3:58.71,Lyubov Kremlyova,RUS,1961-12-21,1,Zürich,1992-08-19,238.71,1992,1990,30.661190965092402
417,3:58.72,Maryam Yusuf Jamal,BRN,1984-09-16,1,Athínai,2009-07-13,238.72,2009,2000,24.82135523613963
417,3:58.72,Abeba Aregawi,SWE,1990-07-05,1,Shanghai,2014-05-18,238.72,2014,2010,23.86858316221766
419,3:58.74,Yan Wei,CHN,1973-10-04,4h1,Shanghai,1997-10-17,238.74,1997,1990,24.035592060232716
419,3:58.74,Patrícia Silva,POR,1999-12-09,7,Paris,2026-06-28,238.74,2026,2020,26.55167693360712
421,3:58.75,Maryam Yusuf Jamal,BRN,1984-09-16,1,Osaka,2007-09-02,238.75,2007,2000,22.9596167008898
422,3:58.76,Svetlana Ulmasova,UZB,1953-02-04,2,Podolsk,1982-08-22,238.76,1982,1980,29.544147843942504
422,3:58.76,Heather MacLean,USA,1995-08-31,5,Bruxelles,2022-09-02,238.76,2022,2020,27.006160164271048
424,3:58.77,Adelle Tracey,JAM,1993-05-27,7s2,Budapest,2023-08-20,238.77,2023,2020,30.23134839151266
425,3:58.78,Gabriela Szabo,ROU,1975-11-14,1,Zürich,2002-08-16,238.78,2002,2000,26.754277891854894
426,3:58.79,Süreyya Ayhan-Kop,TUR,1978-09-06,1,München,2002-08-11,238.79,2002,2000,23.928815879534564
426,3:58.79,Gelete Burka,ETH,1986-01-23,1,Hengelo,2009-06-01,238.79,2009,2000,23.353867214236825
428,3:58.80,Paula Ivan,ROU,1963-07-20,1,Verona,1988-07-27,238.8,1988,1980,25.021218343600275
428,3:58.80,Axumawit Embaye,ETH,1994-10-18,3,Rabat,2022-06-05,238.8,2022,2020,27.630390143737166
430,3:58.81,Gabriela Szabo,ROU,1975-11-14,2,München,2002-08-11,238.81,2002,2000,26.740588637919235
430,3:58.81,Jessica Hull,AUS,1996-10-22,4s1,Tokyo,2021-08-04,238.81,2021,2020,24.78302532511978
430,3:58.81,Sarah Billings,AUS,1998-03-07,8,Shaoxing,2026-05-16,238.81,2026,2020,28.191649555099247
433,3:58.82,Zamira Zaytseva,UZB,1953-02-16,2,Athínai,1982-09-11,238.82,1982,1980,29.56605065023956
434,3:58.83,Maryam Yusuf Jamal,BRN,1984-09-16,1,Monaco,2009-07-28,238.82999999999998,2009,2000,24.862422997946613
435,3:58.84,Rababe Arafi,MAR,1991-01-12,4,Rabat,2019-06-16,238.84,2019,2010,28.424366872005475
435,3:58.84,Gudaf Tsegay,ETH,1997-06-23,1h1,Saint-Denis,2024-08-06,238.84,2024,2020,27.121149897330596
435,3:58.84,Linden Hall,AUS,1991-06-20,10,Roma,2024-08-30,238.84,2024,2020,33.19644079397673
435,3:58.84,Claudia Hollingsworth,AUS,2005-04-12,9,Shaoxing,2026-05-16,238.84,2026,2020,21.09240246406571
439,3:58.85,Sonia O'Sullivan,IRL,1969-11-28,1,Monaco,1995-07-25,238.85,1995,1990,25.65366187542779
439,3:58.85,Sinclaire Johnson,USA,1998-04-13,4,Eugene,2022-05-28,238.85,2022,2020,24.123203285420946
441,3:58.88+,Helen Obiri,KEN,1989-12-13,2,London,2018-07-22,238.88,2018,2010,28.605065023956193
441,3:58.88+,Elise Cranny,USA,1996-05-09,6,Monaco,2023-07-21,238.88,2023,2020,27.197809719370294
441,3:58.88,Laura Muir,GBR,1993-05-09,2,Stockholm,2024-06-02,238.88,2024,2020,31.066392881587955
444,3:58.89,Tamara Sorokina,RUS,1950-08-15,1,Leningrad,1981-07-26,238.89,1981,1980,30.94592744695414
444,3:58.89,Helen Obiri,KEN,1989-12-13,3,Saint-Denis,2014-07-05,238.89,2014,2010,24.55852156057495
444,3:58.89,Heather MacLean,USA,1995-08-31,2,Monaco,2022-08-10,238.89,2022,2020,26.94318959616701
447,3:58.9,Tatyana Pozdnyakova,UKR,1956-03-04,1,Ryazan,1984-08-12,238.9,1984,1980,28.44079397672827
448,3:58.91,Laura Muir,GBR,1993-05-09,2h1,Saint-Denis,2024-08-06,238.91,2024,2020,31.24435318275154
448,3:58.91,Dorcus Ewoi,KEN,1996-10-02,4,Xiamen,2026-05-23,238.91,2026,2020,29.637234770704996
450,3:58.92,Mary Slaney,USA,1958-08-04,1,Indianapolis,1988-07-23,238.92000000000002,1988,1980,29.968514715947983
450,3:58.92,Konstanze Klosterhalfen,GER,1997-02-18,1,Berlin,2017-08-27,238.92000000000002,2017,2010,20.520191649555098
